Set,ATname,com_name,com_names,protein_sequence,gene_family,gene_fam_size,expression_level,GO_functions
793,AT1G72650,trfl6,trfl6,,,,,
794,AT3G19590,bub3.1,bub3.1,,,,,
795,AT1G09410,AT1G09410,at1g09410,,,,,
796,AT3G61390,AT3G61390,at3g61390,,,,,
797,AT1G14390,AT1G14390,at1g14390,,,,,
798,AT1G51600,gata28,"gata28,tify2a,zml2",,,,,
799,AT2G35330,AT2G35330,at2g35330,,,,,
800,AT1G25550,AT1G25550,at1g25550,,,,,
801,AT3G59060,pif5,"pif5,pil6",,,,,
802,AT1G21610,AT1G21610,at1g21610,,,,,
803,AT1G63430,AT1G63430,at1g63430,,,,,
804,AT1G23380,knat6,"knat6,knat6l,knat6s",,,,,
805,AT1G69570,AT1G69570,at1g69570,,,,,
806,AT1G16060,adap,"adap,wri3",,,,,
807,AT3G29180,AT3G29180,at3g29180,,,,,
808,AT2G42740,rpl16a,rpl16a,,,,,
809,AT5G43330,c-nad-mdh2,c-nad-mdh2,,,,,
810,AT1G21410,2,"atskp2;2,skp2b",,,,,
811,AT5G46590,anac096,"anac096,nac096",,,,,
812,AT5G37540,AT5G37540,at5g37540,,,,,
813,AT1G49710,atfut12,"atfut12,fuct2,fuctb,fut12",,,,,
814,AT1G63050,atlplat2,"atlplat2,lpcat2,lplat2",,,,,
815,AT1G80090,cbsx4,cbsx4,,,,,
816,AT3G21280,ubp7,ubp7,,,,,
819,AT2G25180,arr12,"arr12,rr12",,,,,
820,AT1G05830,atx2,"atx2,sdg30",,,,,
821,AT3G19850,AT3G19850,at3g19850,,,,,
823,AT3G21340,AT3G21340,at3g21340,,,,,
825,AT3G62700,abcc14,"abcc14,atmrp10,mrp10",,,,,
826,AT2G02810,atutr1,"atutr1,utr1",,,,,
827,AT1G18620,trm3,trm3,,,,,
828,AT1G20580,AT1G20580,at1g20580,,,,,
829,AT1G21170,sec5b,sec5b,,,,,
830,AT1G76860,lsm3b,lsm3b,,,,,
836,AT5G49945,AT5G49945,at5g49945,,,,,
839,AT5G43560,AT5G43560,at5g43560,,,,,
841,AT1G73250,atfx,"atfx,ger1",,,,,
845,AT2G31380,bbx25,"bbx25,sth",,,,,
848,AT5G65700,bam1,bam1,,,,,
849,AT3G51260,pad1,pad1,,,,,
850,AT5G26910,trm8,trm8,,,,,
851,AT1G13960,wrky4,wrky4,,,,,
852,AT1G52670,AT1G52670,at1g52670,,,,,
855,AT4G26850,vtc2,vtc2,,,,,
856,AT5G07370,atipk2a,"atipk2a,impk,ipk2a",,,,,
857,AT4G31420,reil1,reil1,,,,,
858,AT4G25890,AT4G25890,at4g25890,,,,,
2222,AT3G18035,hon4,hon4,,,,,
